issue_id,category,title,review_scope,review_instruction,observable_signals
VIS-01,Visual style,Generic AI aesthetic,single-screen,Flag when the UI relies on stock AI-dashboard tropes instead of product-specific design decisions.,"Interchangeable SaaS look; generic premium tone; no domain-specific structure, copy, or visual language"
VIS-02,Visual style,Generic dark-SaaS shell,single-screen,Flag when the screen defaults to a blue-black or gray-black 'premium dashboard' look without a product reason.,Dark gradient canvas; cyan/purple accents; detached floating surfaces; style feels imported rather than owned
VIS-03,Visual style,Premium-by-decoration chrome,single-screen,"Flag when polish is coming from decorative effects rather than strong layout, hierarchy, and content choices.",Glassmorphism; glows; blur haze; frosted panels; gradient borders; dramatic shadows
VIS-04,Visual style,Excessive roundness / pill overload,single-screen,"Flag when large radii or pill shapes are used across too many components, making the interface soft and toy-like.","Pill buttons, tabs, badges, chips, and cards everywhere; 20px+ radii used as a default"
VIS-05,Visual style,Template typography / weak type hierarchy,single-screen,"Flag when typography feels unbranded or the hierarchy is weak, with headings, labels, body, and metadata too similar.",Default-stack feel; unclear heading structure; weak contrast between heading/body/label roles
VIS-06,Visual style,Weak color judgment / low contrast,single-screen,Flag when the palette hurts readability or feels arbitrary rather than intentional and calm.,Low-contrast text; muddy surfaces; accents that fight; muted gray-blue text that is hard to scan
VIS-07,Visual style,Ornamental microcopy / fake product voice,single-screen,Flag decorative copy that sounds clever or premium but does not help the user complete a task.,"Taglines, slogans, explanatory filler, or faux-poetic copy that could be removed without losing function"
VIS-08,Visual style,Eyebrow-label / uppercase-metadata habit,single-screen,"Flag tiny uppercase labels, letter-spaced metadata, or mini-notes used as decoration rather than structure.",Small uppercase pre-headings; muted section notes; decorative metadata above otherwise simple content
VIS-09,Visual style,Low distinctiveness / template feel,single-screen,Flag screens that could belong to almost any generic SaaS product because the design lacks domain-specific choices.,Familiar dashboard composition; generic labels; no product-specific information architecture or character
VIS-10,Visual style,Gimmicky hover / micro-motion,interaction/state,"Flag motion that adds flair but not clarity, especially default translate, scale, or bounce behaviors.",Hover translateX/Y; scale-on-hover; motion used everywhere instead of only where feedback is needed
LAY-01,Layout & hierarchy,Card/panel nesting and wrapper bloat,single-screen,Flag unnecessary container layers that fragment content and make the layout feel overbuilt.,Cards inside cards; panels inside panels; many shells that add chrome but not structure
LAY-02,Layout & hierarchy,"Weak spacing, alignment, hierarchy, and positioning",single-screen,"Flag inconsistent spacing or placement that makes the screen look off-grid, uneven, or accidentally composed.",Misaligned baselines; uneven gaps; overlapping elements; headings and content not sharing a grid
LAY-03,Layout & hierarchy,Wasted space / density problems,single-screen,"Flag oversized padding, large empty regions, or sparse composition that reduces clarity rather than improving it.",Huge margins; dead zones; overpadded sections; low information density with no readability gain
LAY-04,Layout & hierarchy,Detached dashboard-shell cliché,single-screen,Flag the stock composition of floating rounded sidebar plus detached main shell when it is not driven by the product.,Floating sidebar shell; brand block at top; detached content card; ornamental outer framing
LAY-05,Layout & hierarchy,Hero-inside-dashboard mistake,single-screen,Flag marketing-style hero sections or decorative header bands inside internal tools or dense product views.,Large welcome banner; decorative hero copy; oversized dashboard header taking space from real work
LAY-06,Layout & hierarchy,Invented layouts instead of product-appropriate structures,single-screen,"Flag layouts that are visually clever but worse for scanning, navigation, or task completion than a standard product structure.",Asymmetric composition with no payoff; unusual section ordering; structure feels invented for style
LAY-07,Layout & hierarchy,Metric-card / KPI-grid-first instinct,single-screen,Flag top-row KPI cards used as filler or ceremony when the primary user task is not metric monitoring.,Three- or four-card stat strip; generic numbers; metrics that do not drive the screen's main job
LAY-08,Layout & hierarchy,Filler side-panels and rails,single-screen,Flag side panels or rails that mostly exist to fill space instead of supporting a real workflow.,Today rails; recent activity blocks; quota widgets; side CTA panels with weak task value
LAY-09,Layout & hierarchy,Mixed alignment logic,single-screen,Flag screens where some blocks follow a strict grid while others float center-ish or use unrelated alignment rules.,Left-aligned content mixed with centered shells; inconsistent column starts; wandering edges
LAY-10,Layout & hierarchy,Breakpoint fragility / mobile collapse,multi-breakpoint,"Across widths, flag layouts that collapse into a long stack, lose grouping, overflow, or become hard to operate.",Single-column beige sandwich; broken grouping; clipped content; tiny tap targets; horizontal overflow
FID-01,System fit & fidelity,Reference fidelity,reference-aware,"When a screenshot, Figma frame, or designer reference is provided, compare against it and flag drift toward generic Codex UI.",Changed composition; spacing drift; wrong typography; token drift; different components; genericized styling
FID-02,System fit & fidelity,Design-system / token compliance,reference-aware,"Flag components that ignore the product's spacing scale, radii, typography, border treatment, elevation, or color tokens.",Random radii; new hex codes; inconsistent borders; mismatched type scale; components that do not belong
FID-03,System fit & fidelity,Same geometry reused everywhere,single-screen,"Flag interfaces where every major surface and control shares the same shell treatment, creating sameness.","Same radius, padding, and border treatment on sidebar, cards, buttons, panels, and modals"
FID-04,System fit & fidelity,Fake analytics / filler data viz,single-screen,"Flag charts, donut visuals, progress bars, or percentages that look decorative or disconnected from a real task.",Hand-wavy percentages; unlabeled charts; generic pipeline bars; visual metrics that exist mainly to fill space
FID-05,System fit & fidelity,Badge/tag/status-dot overproduction,single-screen,"Flag screens that wrap too many statuses, rows, or nav items in chips, badges, counts, or colored dots.",Tag on every row; nav count badges everywhere; live dots; status chips creating visual noise
FID-06,System fit & fidelity,Wrapper / panel-style proliferation,single-screen,"Flag screens that use too many near-identical surface styles instead of a small, coherent set of containers.","Panel, rail-panel, table-panel, shell, workspace block, and other one-off surface treatments on one screen"
FID-07,System fit & fidelity,Overdecorated controls instead of plain functional primitives,single-screen,Flag controls that are stylized beyond their functional role when a simpler primitive would be clearer.,Fancy tabs; animated inputs; decorative icon backgrounds; ornamental dropdowns; stylized controls for no task reason
FID-08,System fit & fidelity,Theme integrity / dark-mode legibility,theme/state,"Flag theme issues that break readability or consistency, especially in dark mode or across surface levels.",Unreadable text; muddy backgrounds; invisible borders; washed-out accents; inconsistent surface contrast
FID-09,System fit & fidelity,Local inconsistency / change spillover,single-screen,Flag individual sections or components that look edited in isolation and no longer match the surrounding UI language.,"One card or form uses a different radius, spacing, type scale, shadow, or interaction pattern than the rest"
FID-10,System fit & fidelity,Placeholder or faux-product content,single-screen,"Flag labels and content that feel fabricated, ornamental, or disconnected from a plausible product vocabulary.",Live pulse; operator checklist; night shift; team focus; decorative labels that do not map to real product concepts
QA-01,QA & completeness,Obvious visual defects left unreviewed,single-screen,Flag visible defects that a basic UI review should have caught before shipping.,Clipped text; overflow; broken corner joins; inconsistent radii; spacing glitches; unfinished-looking edges
QA-02,QA & completeness,Missing component states / incomplete interaction design,interaction/state,"Flag components that appear to have only a default state, with little evidence of considered interaction design.","Missing or inconsistent hover, focus, selected, disabled, loading, empty, or error states"
QA-03,QA & completeness,Task clarity hidden behind decoration,single-screen,"Flag screens where decorative structure or style makes the primary task harder to find, scan, or execute.",Primary action buried; important data secondary to chrome; ornamental sections competing with functional content
